time (s),leafValue( VT("/VOUT") "vin_dc" 1.98 ) (V)
111.0E-6,1.058
111.0E-6,1.061
111.0E-6,1.064
111.0E-6,1.071
111.1E-6,1.078
111.1E-6,1.088
111.2E-6,1.107
111.3E-6,1.135
111.4E-6,1.153
111.5E-6,1.164
111.6E-6,1.172
111.6E-6,1.178
111.7E-6,1.182
111.8E-6,1.187
111.9E-6,1.190
112.0E-6,1.193
112.1E-6,1.194
112.2E-6,1.196
112.2E-6,1.197
112.4E-6,1.198
112.5E-6,1.199
112.7E-6,1.200
112.8E-6,1.200
113.0E-6,1.201
113.1E-6,1.201
113.2E-6,1.201
113.4E-6,1.201
113.6E-6,1.201
113.9E-6,1.201
114.2E-6,1.201
114.8E-6,1.201
115.3E-6,1.201
115.7E-6,1.201
116.2E-6,1.201
116.7E-6,1.201
117.3E-6,1.201
117.9E-6,1.201
118.7E-6,1.201
119.6E-6,1.201
120.8E-6,1.201
122.5E-6,1.201
124.5E-6,1.201
126.5E-6,1.200
128.5E-6,1.200
130.5E-6,1.200
132.5E-6,1.200
134.5E-6,1.200
136.5E-6,1.200
138.5E-6,1.200
140.5E-6,1.200
142.5E-6,1.200
144.5E-6,1.200
146.5E-6,1.200
148.5E-6,1.200
150.5E-6,1.200
152.5E-6,1.200
154.5E-6,1.200
156.5E-6,1.200
158.5E-6,1.200
159.7E-6,1.200
161.0E-6,1.200
161.0E-6,1.203
161.0E-6,1.207
161.1E-6,1.210
161.1E-6,1.212
161.1E-6,1.216
161.1E-6,1.220
161.2E-6,1.223
161.2E-6,1.225
161.2E-6,1.227
161.2E-6,1.228
161.2E-6,1.229
161.2E-6,1.229
161.2E-6,1.230
161.2E-6,1.230
161.3E-6,1.231
161.3E-6,1.231
161.3E-6,1.232
161.3E-6,1.232
161.3E-6,1.233
161.3E-6,1.234
161.3E-6,1.235
161.3E-6,1.237
161.4E-6,1.238
161.4E-6,1.240
161.4E-6,1.243
161.5E-6,1.247
161.6E-6,1.252
161.7E-6,1.257
161.8E-6,1.261
161.9E-6,1.264
161.9E-6,1.267
161.9E-6,1.268
162.0E-6,1.270
162.0E-6,1.271
162.0E-6,1.272
162.0E-6,1.272
162.0E-6,1.272
162.0E-6,1.271
162.0E-6,1.271
162.0E-6,1.270
162.0E-6,1.270
162.0E-6,1.269
162.0E-6,1.268
162.0E-6,1.267
162.0E-6,1.267
162.0E-6,1.266
162.1E-6,1.265
162.1E-6,1.265
162.1E-6,1.263
162.1E-6,1.262
162.1E-6,1.262
162.1E-6,1.261
162.1E-6,1.259
162.1E-6,1.258
162.1E-6,1.256
162.2E-6,1.253
162.2E-6,1.251
162.2E-6,1.248
162.3E-6,1.245
162.3E-6,1.242
162.4E-6,1.239
162.4E-6,1.236
162.5E-6,1.232
162.6E-6,1.229
162.7E-6,1.226
162.8E-6,1.223
162.9E-6,1.221
163.1E-6,1.219
163.2E-6,1.217
163.4E-6,1.216
163.6E-6,1.215
163.9E-6,1.214
164.1E-6,1.213
164.4E-6,1.213
164.8E-6,1.212
165.2E-6,1.212
165.8E-6,1.212
166.5E-6,1.212
167.4E-6,1.211
168.6E-6,1.211
169.3E-6,1.211
169.9E-6,1.211
170.6E-6,1.211
171.3E-6,1.211
172.0E-6,1.211
172.7E-6,1.211
173.5E-6,1.211
174.7E-6,1.211
176.5E-6,1.210
178.5E-6,1.210
180.5E-6,1.210
182.5E-6,1.210
184.5E-6,1.210
186.5E-6,1.209
188.5E-6,1.209
190.5E-6,1.209
192.5E-6,1.209
194.5E-6,1.209
196.5E-6,1.208
198.5E-6,1.208
200.0E-6,1.208
