freq (Hz),leafValue( PSRR "vin_dc" 1.62 ) (dB)
10.00,-38.76
11.22,-38.76
12.59,-38.76
14.13,-38.76
15.85,-38.76
17.78,-38.76
19.95,-38.76
22.39,-38.76
25.12,-38.76
28.18,-38.76
31.62,-38.76
35.48,-38.76
39.81,-38.76
44.67,-38.76
50.12,-38.76
56.23,-38.76
63.10,-38.76
70.79,-38.76
79.43,-38.76
89.13,-38.76
100.0,-38.76
112.2,-38.76
125.9,-38.75
141.3,-38.75
158.5,-38.75
177.8,-38.75
199.5,-38.75
223.9,-38.75
251.2,-38.75
281.8,-38.75
316.2,-38.75
354.8,-38.75
398.1,-38.75
446.7,-38.75
501.2,-38.74
562.3,-38.74
631.0,-38.74
707.9,-38.73
794.3,-38.72
891.3,-38.72
1.000E3,-38.71
1.122E3,-38.69
1.259E3,-38.68
1.413E3,-38.66
1.585E3,-38.63
1.778E3,-38.60
1.995E3,-38.57
2.239E3,-38.52
2.512E3,-38.46
2.818E3,-38.38
3.162E3,-38.29
3.548E3,-38.18
3.981E3,-38.04
4.467E3,-37.88
5.012E3,-37.67
5.623E3,-37.43
6.310E3,-37.14
7.079E3,-36.81
7.943E3,-36.42
8.913E3,-35.97
10.00E3,-35.47
11.22E3,-34.90
12.59E3,-34.28
14.13E3,-33.60
15.85E3,-32.88
17.78E3,-32.11
19.95E3,-31.29
22.39E3,-30.44
25.12E3,-29.57
28.18E3,-28.66
31.62E3,-27.74
35.48E3,-26.81
39.81E3,-25.86
44.67E3,-24.90
50.12E3,-23.94
56.23E3,-22.98
63.10E3,-22.02
70.79E3,-21.06
79.43E3,-20.11
89.13E3,-19.16
100.0E3,-18.23
112.2E3,-17.30
125.9E3,-16.40
141.3E3,-15.51
158.5E3,-14.65
177.8E3,-13.82
199.5E3,-13.03
223.9E3,-12.27
251.2E3,-11.56
281.8E3,-10.90
316.2E3,-10.29
354.8E3,-9.739
398.1E3,-9.243
446.7E3,-8.805
501.2E3,-8.422
562.3E3,-8.091
631.0E3,-7.810
707.9E3,-7.573
794.3E3,-7.374
891.3E3,-7.210
1.000E6,-7.075
1.122E6,-6.965
1.259E6,-6.875
1.413E6,-6.803
1.585E6,-6.744
1.778E6,-6.697
1.995E6,-6.659
2.239E6,-6.629
2.512E6,-6.605
2.818E6,-6.586
3.162E6,-6.571
3.548E6,-6.559
3.981E6,-6.549
4.467E6,-6.542
5.012E6,-6.536
5.623E6,-6.531
6.310E6,-6.528
7.079E6,-6.525
7.943E6,-6.523
8.913E6,-6.521
10.00E6,-6.520
11.22E6,-6.520
12.59E6,-6.519
14.13E6,-6.519
15.85E6,-6.519
17.78E6,-6.518
19.95E6,-6.518
22.39E6,-6.518
25.12E6,-6.517
28.18E6,-6.516
31.62E6,-6.515
35.48E6,-6.515
39.81E6,-6.514
44.67E6,-6.514
50.12E6,-6.515
56.23E6,-6.516
63.10E6,-6.518
70.79E6,-6.520
79.43E6,-6.522
89.13E6,-6.525
100.0E6,-6.527
112.2E6,-6.529
125.9E6,-6.530
141.3E6,-6.531
158.5E6,-6.531
177.8E6,-6.531
199.5E6,-6.531
223.9E6,-6.530
251.2E6,-6.529
281.8E6,-6.528
316.2E6,-6.526
354.8E6,-6.523
398.1E6,-6.520
446.7E6,-6.515
501.2E6,-6.510
562.3E6,-6.502
631.0E6,-6.493
707.9E6,-6.481
794.3E6,-6.466
891.3E6,-6.447
1.000E9,-6.424
