freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
46.42,91.02,77.85
48.23,90.80,77.52
50.12,90.57,77.18
52.08,90.35,76.85
54.12,90.12,76.52
56.23,89.90,76.18
58.43,89.68,75.85
60.72,89.45,75.52
63.10,89.23,75.18
65.56,89.00,74.85
68.13,88.77,74.51
70.79,88.54,74.18
73.56,88.31,73.85
76.44,88.08,73.51
79.43,87.84,73.18
82.54,87.60,72.84
85.77,87.35,72.51
89.13,87.11,72.17
92.61,86.86,71.84
96.24,86.60,71.50
100.0,86.34,71.16
103.9,86.07,70.83
108.0,85.80,70.49
112.2,85.52,70.15
116.6,85.24,69.82
121.2,84.95,69.48
125.9,84.65,69.14
130.8,84.35,68.80
135.9,84.03,68.47
141.3,83.71,68.13
146.8,83.38,67.79
152.5,83.04,67.45
158.5,82.70,67.11
164.7,82.34,66.77
171.1,81.97,66.42
177.8,81.59,66.08
184.8,81.20,65.74
192.0,80.79,65.39
199.5,80.38,65.05
207.3,79.95,64.70
215.4,79.51,64.36
223.9,79.05,64.01
232.6,78.59,63.66
241.7,78.10,63.31
251.2,77.60,62.96
261.0,77.09,62.61
271.2,76.56,62.25
281.8,76.02,61.90
292.9,75.45,61.54
304.3,74.87,61.18
316.2,74.28,60.82
328.6,73.66,60.46
341.5,73.03,60.10
354.8,72.38,59.73
368.7,71.71,59.36
383.1,71.02,58.99
398.1,70.31,58.61
413.7,69.59,58.24
429.9,68.84,57.86
446.7,68.08,57.47
464.2,67.29,57.09
482.3,66.49,56.70
501.2,65.67,56.30
520.8,64.83,55.90
541.2,63.97,55.50
562.3,63.09,55.09
584.3,62.20,54.68
607.2,61.29,54.27
631.0,60.37,53.85
655.6,59.43,53.42
681.3,58.47,52.99
707.9,57.51,52.56
735.6,56.53,52.11
764.4,55.54,51.67
794.3,54.54,51.21
825.4,53.53,50.76
857.7,52.52,50.29
891.3,51.50,49.82
926.1,50.48,49.34
962.4,49.46,48.86
1.000E3,48.43,48.37
1.039E3,47.41,47.87
1.080E3,46.40,47.37
1.122E3,45.38,46.86
1.166E3,44.38,46.35
1.212E3,43.38,45.83
1.259E3,42.40,45.30
1.308E3,41.42,44.76
1.359E3,40.46,44.22
1.413E3,39.51,43.68
1.468E3,38.59,43.13
1.525E3,37.67,42.57
1.585E3,36.78,42.01
1.647E3,35.91,41.44
1.711E3,35.06,40.87
1.778E3,34.24,40.29
1.848E3,33.43,39.71
1.920E3,32.65,39.12
1.995E3,31.90,38.53
2.073E3,31.17,37.93
2.154E3,30.47,37.33
2.239E3,29.80,36.73
2.326E3,29.16,36.12
2.417E3,28.54,35.51
2.512E3,27.95,34.90
2.610E3,27.39,34.28
2.712E3,26.86,33.66
2.818E3,26.36,33.04
2.929E3,25.89,32.42
3.043E3,25.45,31.79
3.162E3,25.04,31.16
3.286E3,24.66,30.53
3.415E3,24.30,29.90
3.548E3,23.98,29.27
3.687E3,23.69,28.63
3.831E3,23.43,27.99
3.981E3,23.20,27.36
4.137E3,23.00,26.72
4.299E3,22.82,26.08
4.467E3,22.68,25.44
4.642E3,22.57,24.80
4.823E3,22.48,24.16
5.012E3,22.43,23.52
5.208E3,22.41,22.87
5.412E3,22.41,22.23
5.623E3,22.45,21.59
5.843E3,22.52,20.95
6.072E3,22.61,20.31
6.310E3,22.74,19.67
6.556E3,22.89,19.03
6.813E3,23.08,18.39
7.079E3,23.29,17.75
7.356E3,23.54,17.12
7.644E3,23.81,16.48
7.943E3,24.11,15.85
8.254E3,24.45,15.21
8.577E3,24.81,14.58
8.913E3,25.21,13.95
9.261E3,25.63,13.33
9.624E3,26.08,12.70
10.00E3,26.57,12.08
10.39E3,27.08,11.46
10.80E3,27.62,10.84
11.22E3,28.19,10.22
11.66E3,28.79,9.613
12.12E3,29.41,9.004
12.59E3,30.07,8.399
13.08E3,30.75,7.798
13.59E3,31.46,7.201
14.13E3,32.20,6.608
14.68E3,32.96,6.018
15.25E3,33.74,5.434
15.85E3,34.55,4.854
16.47E3,35.39,4.279
17.11E3,36.24,3.709
17.78E3,37.12,3.144
18.48E3,38.01,2.585
19.20E3,38.93,2.031
19.95E3,39.86,1.483
20.73E3,40.80,940.3E-3
21.54E3,41.76,404.0E-3
22.39E3,42.73,-126.3E-3
23.26E3,43.72,-650.5E-3
24.17E3,44.71,-1.168
25.12E3,45.71,-1.680
26.10E3,46.71,-2.185
27.12E3,47.72,-2.684
28.18E3,48.73,-3.177
29.29E3,49.74,-3.663
30.43E3,50.75,-4.143
31.62E3,51.76,-4.616
32.86E3,52.76,-5.084
34.15E3,53.76,-5.545
35.48E3,54.75,-6.001
36.87E3,55.73,-6.450
38.31E3,56.69,-6.894
39.81E3,57.65,-7.332
41.37E3,58.59,-7.765
42.99E3,59.52,-8.192
44.67E3,60.44,-8.615
46.42E3,61.33,-9.032
48.23E3,62.21,-9.445
50.12E3,63.08,-9.853
52.08E3,63.92,-10.26
54.12E3,64.75,-10.66
56.23E3,65.56,-11.05
58.43E3,66.34,-11.44
60.72E3,67.11,-11.83
63.10E3,67.86,-12.22
65.56E3,68.59,-12.60
68.13E3,69.29,-12.98
70.79E3,69.98,-13.35
73.56E3,70.64,-13.72
76.44E3,71.29,-14.09
79.43E3,71.92,-14.46
82.54E3,72.52,-14.83
85.77E3,73.11,-15.19
89.13E3,73.68,-15.55
92.61E3,74.22,-15.91
96.24E3,74.75,-16.27
100.0E3,75.26,-16.62
103.9E3,75.76,-16.98
108.0E3,76.23,-17.33
112.2E3,76.69,-17.68
116.6E3,77.13,-18.03
121.2E3,77.55,-18.38
125.9E3,77.96,-18.73
130.8E3,78.35,-19.07
135.9E3,78.72,-19.42
141.3E3,79.08,-19.76
146.8E3,79.43,-20.11
152.5E3,79.76,-20.45
158.5E3,80.07,-20.79
164.7E3,80.37,-21.13
171.1E3,80.66,-21.47
177.8E3,80.94,-21.82
184.8E3,81.20,-22.16
192.0E3,81.45,-22.49
199.5E3,81.69,-22.83
207.3E3,81.92,-23.17
215.4E3,82.13,-23.51
223.9E3,82.33,-23.85
232.6E3,82.53,-24.19
241.7E3,82.71,-24.52
251.2E3,82.88,-24.86
261.0E3,83.04,-25.20
271.2E3,83.19,-25.53
281.8E3,83.33,-25.87
292.9E3,83.46,-26.20
304.3E3,83.58,-26.54
316.2E3,83.69,-26.88
328.6E3,83.80,-27.21
341.5E3,83.89,-27.55
354.8E3,83.97,-27.88
368.7E3,84.05,-28.22
383.1E3,84.12,-28.55
398.1E3,84.17,-28.89
413.7E3,84.22,-29.22
429.9E3,84.26,-29.56
446.7E3,84.30,-29.89
464.2E3,84.32,-30.22
482.3E3,84.34,-30.56
501.2E3,84.35,-30.89
520.8E3,84.35,-31.23
541.2E3,84.34,-31.56
562.3E3,84.32,-31.89
584.3E3,84.29,-32.23
607.2E3,84.26,-32.56
631.0E3,84.22,-32.90
655.6E3,84.17,-33.23
681.3E3,84.11,-33.56
707.9E3,84.04,-33.90
735.6E3,83.96,-34.23
764.4E3,83.88,-34.57
794.3E3,83.78,-34.90
825.4E3,83.68,-35.23
857.7E3,83.56,-35.57
891.3E3,83.44,-35.90
926.1E3,83.31,-36.23
962.4E3,83.17,-36.57
1.000E6,83.01,-36.90
1.039E6,82.85,-37.23
1.080E6,82.68,-37.57
1.122E6,82.49,-37.90
1.166E6,82.30,-38.24
1.212E6,82.09,-38.57
1.259E6,81.88,-38.90
1.308E6,81.65,-39.24
1.359E6,81.41,-39.57
1.413E6,81.15,-39.90
1.468E6,80.88,-40.24
1.525E6,80.60,-40.57
1.585E6,80.31,-40.90
1.647E6,80.00,-41.24
1.711E6,79.68,-41.57
1.778E6,79.34,-41.90
1.848E6,78.98,-42.24
1.920E6,78.62,-42.57
1.995E6,78.23,-42.91
2.073E6,77.83,-43.24
2.154E6,77.40,-43.57
2.239E6,76.97,-43.91
2.326E6,76.51,-44.24
2.417E6,76.03,-44.57
2.512E6,75.53,-44.91
2.610E6,75.01,-45.24
2.712E6,74.47,-45.58
2.818E6,73.91,-45.91
2.929E6,73.32,-46.24
3.043E6,72.71,-46.58
3.162E6,72.08,-46.91
3.286E6,71.42,-47.25
3.415E6,70.74,-47.58
3.548E6,70.02,-47.91
3.687E6,69.28,-48.25
3.831E6,68.51,-48.58
3.981E6,67.71,-48.92
4.137E6,66.88,-49.25
4.299E6,66.02,-49.59
4.467E6,65.12,-49.92
4.642E6,64.19,-50.25
4.823E6,63.22,-50.59
5.012E6,62.22,-50.92
5.208E6,61.18,-51.26
5.412E6,60.11,-51.59
5.623E6,58.99,-51.93
5.843E6,57.83,-52.27
6.072E6,56.63,-52.60
6.310E6,55.39,-52.94
6.556E6,54.10,-53.27
6.813E6,52.77,-53.61
7.079E6,51.39,-53.95
7.356E6,49.96,-54.28
7.644E6,48.49,-54.62
7.943E6,46.96,-54.96
8.254E6,45.39,-55.29
8.577E6,43.76,-55.63
8.913E6,42.08,-55.97
9.261E6,40.35,-56.31
9.624E6,38.56,-56.65
10.00E6,36.72,-56.99
10.39E6,34.83,-57.33
10.80E6,32.87,-57.67
11.22E6,30.87,-58.01
11.66E6,28.80,-58.35
12.12E6,26.68,-58.69
12.59E6,24.51,-59.04
13.08E6,22.28,-59.38
13.59E6,19.99,-59.72
14.13E6,17.65,-60.07
14.68E6,15.25,-60.42
15.25E6,12.81,-60.76
15.85E6,10.30,-61.11
16.47E6,7.753,-61.46
17.11E6,5.153,-61.81
17.78E6,2.504,-62.16
18.48E6,-189.7E-3,-62.52
19.20E6,-2.928,-62.87
19.95E6,-5.708,-63.23
20.73E6,-8.528,-63.58
21.54E6,-11.39,-63.94
22.39E6,-14.28,-64.30
23.26E6,-17.20,-64.66
24.17E6,-20.16,-65.03
25.12E6,-23.15,-65.39
26.10E6,-26.16,-65.76
27.12E6,-29.19,-66.13
28.18E6,-32.25,-66.50
29.29E6,-35.32,-66.88
30.43E6,-38.42,-67.26
31.62E6,-41.53,-67.64
32.86E6,-44.65,-68.02
34.15E6,-47.78,-68.41
35.48E6,-50.93,-68.80
36.87E6,-54.08,-69.20
38.31E6,-57.24,-69.60
39.81E6,-60.41,-70.00
41.37E6,-63.58,-70.41
42.99E6,-66.76,-70.83
44.67E6,-69.94,-71.25
46.42E6,-73.12,-71.68
48.23E6,-76.29,-72.12
50.12E6,-79.46,-72.56
52.08E6,-82.63,-73.01
54.12E6,-85.79,-73.48
56.23E6,-88.94,-73.95
58.43E6,-92.08,-74.43
60.72E6,-95.20,-74.92
63.10E6,-98.30,-75.43
65.56E6,-101.4,-75.94
68.13E6,-104.4,-76.47
70.79E6,-107.4,-77.01
73.56E6,-110.4,-77.56
76.44E6,-113.3,-78.12
79.43E6,-116.2,-78.70
82.54E6,-119.0,-79.29
85.77E6,-121.8,-79.90
89.13E6,-124.5,-80.51
92.61E6,-127.1,-81.14
96.24E6,-129.6,-81.78
100.0E6,-132.1,-82.43
103.9E6,-134.5,-83.09
108.0E6,-136.8,-83.76
112.2E6,-139.0,-84.44
116.6E6,-141.1,-85.12
121.2E6,-143.1,-85.82
125.9E6,-145.0,-86.52
130.8E6,-146.9,-87.22
135.9E6,-148.6,-87.93
141.3E6,-150.2,-88.64
146.8E6,-151.8,-89.36
152.5E6,-153.2,-90.07
158.5E6,-154.6,-90.79
164.7E6,-155.8,-91.50
171.1E6,-157.0,-92.21
177.8E6,-158.2,-92.92
184.8E6,-159.2,-93.63
192.0E6,-160.2,-94.34
199.5E6,-161.1,-95.04
207.3E6,-162.0,-95.73
215.4E6,-162.9,-96.43
223.9E6,-163.7,-97.11
232.6E6,-164.4,-97.80
241.7E6,-165.2,-98.48
251.2E6,-165.9,-99.15
261.0E6,-166.6,-99.82
271.2E6,-167.3,-100.5
281.8E6,-168.0,-101.1
292.9E6,-168.7,-101.8
304.3E6,-169.4,-102.5
316.2E6,-170.1,-103.1
328.6E6,-170.8,-103.8
341.5E6,-171.5,-104.4
354.8E6,-172.3,-105.1
368.7E6,-173.0,-105.7
383.1E6,-173.8,-106.4
398.1E6,-174.6,-107.0
413.7E6,-175.4,-107.7
429.9E6,-176.3,-108.4
446.7E6,-177.1,-109.0
464.2E6,-178.0,-109.7
482.3E6,-178.9,-110.4
501.2E6,-179.9,-111.0
520.8E6,-180.8,-111.7
541.2E6,-181.8,-112.4
562.3E6,-182.8,-113.1
584.3E6,-183.9,-113.7
607.2E6,-185.0,-114.4
631.0E6,-186.1,-115.1
655.6E6,-187.2,-115.8
681.3E6,-188.4,-116.5
707.9E6,-189.7,-117.3
735.6E6,-191.0,-118.0
764.4E6,-192.4,-118.7
794.3E6,-193.8,-119.5
825.4E6,-195.3,-120.2
857.7E6,-196.8,-121.0
891.3E6,-198.5,-121.7
926.1E6,-200.2,-122.5
962.4E6,-202.1,-123.3
1.000E9,-204.1,-124.1
