freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,160.4,101.7
1.039,159.7,101.6
1.080,159.0,101.6
1.122,158.3,101.6
1.166,157.5,101.5
1.212,156.7,101.5
1.259,155.9,101.4
1.308,155.1,101.3
1.359,154.2,101.3
1.413,153.3,101.2
1.468,152.5,101.2
1.525,151.5,101.1
1.585,150.6,101.0
1.647,149.7,100.9
1.711,148.7,100.8
1.778,147.7,100.7
1.848,146.7,100.6
1.920,145.7,100.5
1.995,144.6,100.4
2.073,143.6,100.3
2.154,142.5,100.2
2.239,141.5,100.1
2.326,140.4,99.94
2.417,139.3,99.80
2.512,138.2,99.66
2.610,137.1,99.51
2.712,136.0,99.35
2.818,134.9,99.19
2.929,133.8,99.02
3.043,132.7,98.84
3.162,131.6,98.66
3.286,130.5,98.47
3.415,129.4,98.28
3.548,128.3,98.08
3.687,127.2,97.87
3.831,126.2,97.66
3.981,125.1,97.44
4.137,124.1,97.21
4.299,123.1,96.98
4.467,122.1,96.75
4.642,121.1,96.51
4.823,120.1,96.26
5.012,119.1,96.01
5.208,118.2,95.76
5.412,117.3,95.50
5.623,116.4,95.23
5.843,115.5,94.96
6.072,114.6,94.69
6.310,113.8,94.41
6.556,112.9,94.14
6.813,112.1,93.85
7.079,111.4,93.57
7.356,110.6,93.28
7.644,109.9,92.99
7.943,109.1,92.69
8.254,108.4,92.39
8.577,107.8,92.09
8.913,107.1,91.79
9.261,106.5,91.49
9.624,105.8,91.18
10.00,105.2,90.87
10.39,104.6,90.56
10.80,104.1,90.25
11.22,103.5,89.94
11.66,103.0,89.63
12.12,102.5,89.31
12.59,102.0,88.99
13.08,101.5,88.68
13.59,101.0,88.36
14.13,100.6,88.04
14.68,100.1,87.72
15.25,99.68,87.39
15.85,99.26,87.07
16.47,98.85,86.75
17.11,98.46,86.42
17.78,98.08,86.10
18.48,97.71,85.77
19.20,97.35,85.45
19.95,97.00,85.12
20.73,96.66,84.79
21.54,96.32,84.46
22.39,96.00,84.14
23.26,95.69,83.81
24.17,95.38,83.48
25.12,95.08,83.15
26.10,94.79,82.82
27.12,94.51,82.49
28.18,94.23,82.16
29.29,93.96,81.83
30.43,93.69,81.50
31.62,93.43,81.17
32.86,93.17,80.84
34.15,92.92,80.51
35.48,92.67,80.17
36.87,92.43,79.84
38.31,92.19,79.51
39.81,91.95,79.18
41.37,91.71,78.85
42.99,91.48,78.51
44.67,91.25,78.18
