freq (Hz),leafValue( PSRR "vin_dc" 1.8 ) (dB)
10.00,-46.81
11.22,-46.81
12.59,-46.81
14.13,-46.81
15.85,-46.81
17.78,-46.81
19.95,-46.81
22.39,-46.81
25.12,-46.81
28.18,-46.81
31.62,-46.81
35.48,-46.81
39.81,-46.81
44.67,-46.81
50.12,-46.81
56.23,-46.81
63.10,-46.81
70.79,-46.81
79.43,-46.81
89.13,-46.81
100.0,-46.81
112.2,-46.81
125.9,-46.81
141.3,-46.81
158.5,-46.81
177.8,-46.81
199.5,-46.81
223.9,-46.80
251.2,-46.80
281.8,-46.80
316.2,-46.79
354.8,-46.79
398.1,-46.78
446.7,-46.77
501.2,-46.76
562.3,-46.75
631.0,-46.74
707.9,-46.72
794.3,-46.69
891.3,-46.66
1.000E3,-46.62
1.122E3,-46.57
1.259E3,-46.51
1.413E3,-46.43
1.585E3,-46.34
1.778E3,-46.23
1.995E3,-46.09
2.239E3,-45.92
2.512E3,-45.71
2.818E3,-45.46
3.162E3,-45.17
3.548E3,-44.83
3.981E3,-44.44
4.467E3,-43.99
5.012E3,-43.48
5.623E3,-42.92
6.310E3,-42.30
7.079E3,-41.62
7.943E3,-40.90
8.913E3,-40.13
10.00E3,-39.32
11.22E3,-38.47
12.59E3,-37.60
14.13E3,-36.70
15.85E3,-35.78
17.78E3,-34.84
19.95E3,-33.88
22.39E3,-32.92
25.12E3,-31.94
28.18E3,-30.96
31.62E3,-29.97
35.48E3,-28.98
39.81E3,-27.99
44.67E3,-27.00
50.12E3,-26.00
56.23E3,-25.02
63.10E3,-24.03
70.79E3,-23.05
79.43E3,-22.07
89.13E3,-21.11
100.0E3,-20.15
112.2E3,-19.20
125.9E3,-18.26
141.3E3,-17.34
158.5E3,-16.44
177.8E3,-15.56
199.5E3,-14.70
223.9E3,-13.88
251.2E3,-13.09
281.8E3,-12.34
316.2E3,-11.64
354.8E3,-10.99
398.1E3,-10.40
446.7E3,-9.855
501.2E3,-9.372
562.3E3,-8.946
631.0E3,-8.575
707.9E3,-8.255
794.3E3,-7.984
891.3E3,-7.755
1.000E6,-7.565
1.122E6,-7.408
1.259E6,-7.278
1.413E6,-7.173
1.585E6,-7.087
1.778E6,-7.018
1.995E6,-6.962
2.239E6,-6.917
2.512E6,-6.881
2.818E6,-6.853
3.162E6,-6.830
3.548E6,-6.812
3.981E6,-6.797
4.467E6,-6.786
5.012E6,-6.777
5.623E6,-6.770
6.310E6,-6.765
7.079E6,-6.761
7.943E6,-6.758
8.913E6,-6.756
10.00E6,-6.755
11.22E6,-6.754
12.59E6,-6.754
14.13E6,-6.753
15.85E6,-6.753
17.78E6,-6.754
19.95E6,-6.754
22.39E6,-6.754
25.12E6,-6.753
28.18E6,-6.753
31.62E6,-6.752
35.48E6,-6.752
39.81E6,-6.752
44.67E6,-6.752
50.12E6,-6.753
56.23E6,-6.755
63.10E6,-6.757
70.79E6,-6.759
79.43E6,-6.762
89.13E6,-6.765
100.0E6,-6.767
112.2E6,-6.769
125.9E6,-6.771
141.3E6,-6.772
158.5E6,-6.772
177.8E6,-6.772
199.5E6,-6.772
223.9E6,-6.772
251.2E6,-6.771
281.8E6,-6.769
316.2E6,-6.767
354.8E6,-6.765
398.1E6,-6.761
446.7E6,-6.756
501.2E6,-6.750
562.3E6,-6.742
631.0E6,-6.732
707.9E6,-6.720
794.3E6,-6.704
891.3E6,-6.684
1.000E9,-6.659
