freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
65.56,89.17,74.82
68.13,88.93,74.48
70.79,88.70,74.15
73.56,88.46,73.81
76.44,88.22,73.48
79.43,87.98,73.14
82.54,87.73,72.81
85.77,87.48,72.47
89.13,87.23,72.14
92.61,86.97,71.80
96.24,86.71,71.47
100.0,86.45,71.13
103.9,86.18,70.80
108.0,85.90,70.46
112.2,85.62,70.12
116.6,85.33,69.78
121.2,85.04,69.45
125.9,84.74,69.11
130.8,84.43,68.77
135.9,84.11,68.43
141.3,83.79,68.09
146.8,83.45,67.75
152.5,83.11,67.41
158.5,82.76,67.07
164.7,82.40,66.73
171.1,82.03,66.39
177.8,81.64,66.05
184.8,81.25,65.71
192.0,80.84,65.36
199.5,80.43,65.02
207.3,80.00,64.67
215.4,79.55,64.33
223.9,79.10,63.98
232.6,78.62,63.63
241.7,78.14,63.28
251.2,77.64,62.93
261.0,77.12,62.58
271.2,76.59,62.22
281.8,76.04,61.87
292.9,75.48,61.51
304.3,74.90,61.15
316.2,74.30,60.79
328.6,73.68,60.43
341.5,73.05,60.06
354.8,72.40,59.70
368.7,71.73,59.33
383.1,71.04,58.96
398.1,70.33,58.58
413.7,69.60,58.20
429.9,68.85,57.82
446.7,68.09,57.44
464.2,67.30,57.05
482.3,66.50,56.66
501.2,65.67,56.27
520.8,64.83,55.87
541.2,63.97,55.47
562.3,63.10,55.06
584.3,62.20,54.65
607.2,61.29,54.23
631.0,60.36,53.81
655.6,59.42,53.39
681.3,58.47,52.96
707.9,57.50,52.52
735.6,56.52,52.08
764.4,55.53,51.63
794.3,54.53,51.18
825.4,53.52,50.72
857.7,52.51,50.26
891.3,51.49,49.79
926.1,50.47,49.31
962.4,49.45,48.82
1.000E3,48.42,48.33
1.039E3,47.40,47.84
1.080E3,46.38,47.34
1.122E3,45.37,46.83
1.166E3,44.37,46.31
1.212E3,43.37,45.79
1.259E3,42.38,45.26
1.308E3,41.41,44.73
1.359E3,40.45,44.19
1.413E3,39.50,43.64
1.468E3,38.57,43.09
1.525E3,37.66,42.53
1.585E3,36.77,41.97
1.647E3,35.90,41.40
1.711E3,35.05,40.83
1.778E3,34.22,40.25
1.848E3,33.42,39.67
1.920E3,32.64,39.08
1.995E3,31.89,38.49
2.073E3,31.16,37.89
2.154E3,30.46,37.29
2.239E3,29.79,36.69
2.326E3,29.14,36.08
2.417E3,28.53,35.47
2.512E3,27.94,34.86
2.610E3,27.38,34.24
2.712E3,26.85,33.62
2.818E3,26.35,33.00
2.929E3,25.88,32.38
3.043E3,25.44,31.75
3.162E3,25.03,31.12
3.286E3,24.65,30.49
3.415E3,24.29,29.86
3.548E3,23.97,29.23
3.687E3,23.68,28.59
3.831E3,23.42,27.96
3.981E3,23.19,27.32
4.137E3,22.99,26.68
4.299E3,22.81,26.04
4.467E3,22.67,25.40
4.642E3,22.56,24.76
4.823E3,22.48,24.12
5.012E3,22.42,23.48
5.208E3,22.40,22.84
5.412E3,22.41,22.19
5.623E3,22.44,21.55
5.843E3,22.51,20.91
6.072E3,22.60,20.27
6.310E3,22.73,19.63
6.556E3,22.88,18.99
6.813E3,23.07,18.35
7.079E3,23.28,17.71
7.356E3,23.53,17.08
7.644E3,23.80,16.44
7.943E3,24.11,15.81
8.254E3,24.44,15.17
8.577E3,24.81,14.54
8.913E3,25.20,13.91
9.261E3,25.62,13.29
9.624E3,26.08,12.66
10.00E3,26.56,12.04
10.39E3,27.07,11.42
10.80E3,27.61,10.80
11.22E3,28.18,10.19
11.66E3,28.78,9.574
12.12E3,29.41,8.965
12.59E3,30.06,8.361
13.08E3,30.74,7.759
13.59E3,31.45,7.162
14.13E3,32.19,6.569
14.68E3,32.95,5.980
15.25E3,33.74,5.395
15.85E3,34.54,4.815
16.47E3,35.38,4.240
17.11E3,36.23,3.670
17.78E3,37.11,3.105
18.48E3,38.00,2.546
19.20E3,38.92,1.992
19.95E3,39.85,1.444
20.73E3,40.79,901.2E-3
21.54E3,41.75,364.8E-3
22.39E3,42.72,-165.5E-3
23.26E3,43.71,-689.6E-3
24.17E3,44.70,-1.208
25.12E3,45.70,-1.719
26.10E3,46.70,-2.224
27.12E3,47.71,-2.723
28.18E3,48.72,-3.216
29.29E3,49.73,-3.702
30.43E3,50.74,-4.182
31.62E3,51.75,-4.656
32.86E3,52.75,-5.123
34.15E3,53.74,-5.585
35.48E3,54.73,-6.040
36.87E3,55.71,-6.490
38.31E3,56.68,-6.934
39.81E3,57.63,-7.372
41.37E3,58.58,-7.805
42.99E3,59.50,-8.232
44.67E3,60.42,-8.655
46.42E3,61.32,-9.072
48.23E3,62.20,-9.485
50.12E3,63.06,-9.893
52.08E3,63.90,-10.30
54.12E3,64.73,-10.70
56.23E3,65.54,-11.09
58.43E3,66.32,-11.48
60.72E3,67.09,-11.87
63.10E3,67.84,-12.26
65.56E3,68.56,-12.64
68.13E3,69.27,-13.02
70.79E3,69.96,-13.39
73.56E3,70.62,-13.77
76.44E3,71.27,-14.14
79.43E3,71.89,-14.50
82.54E3,72.50,-14.87
85.77E3,73.08,-15.23
89.13E3,73.65,-15.59
92.61E3,74.20,-15.95
96.24E3,74.73,-16.31
100.0E3,75.24,-16.66
103.9E3,75.73,-17.02
108.0E3,76.20,-17.37
112.2E3,76.66,-17.72
116.6E3,77.10,-18.07
121.2E3,77.52,-18.42
125.9E3,77.93,-18.77
130.8E3,78.32,-19.12
135.9E3,78.70,-19.46
141.3E3,79.06,-19.81
146.8E3,79.40,-20.15
152.5E3,79.73,-20.49
158.5E3,80.05,-20.84
164.7E3,80.35,-21.18
171.1E3,80.64,-21.52
177.8E3,80.92,-21.86
184.8E3,81.18,-22.20
192.0E3,81.43,-22.54
199.5E3,81.67,-22.88
207.3E3,81.89,-23.22
215.4E3,82.11,-23.55
223.9E3,82.31,-23.89
232.6E3,82.50,-24.23
241.7E3,82.69,-24.57
251.2E3,82.86,-24.90
261.0E3,83.02,-25.24
271.2E3,83.17,-25.58
281.8E3,83.31,-25.91
292.9E3,83.44,-26.25
304.3E3,83.56,-26.59
316.2E3,83.67,-26.92
328.6E3,83.77,-27.26
341.5E3,83.87,-27.59
354.8E3,83.95,-27.93
368.7E3,84.03,-28.26
383.1E3,84.10,-28.60
398.1E3,84.15,-28.93
413.7E3,84.20,-29.27
429.9E3,84.24,-29.60
446.7E3,84.28,-29.93
464.2E3,84.30,-30.27
482.3E3,84.32,-30.60
501.2E3,84.33,-30.94
520.8E3,84.32,-31.27
541.2E3,84.32,-31.61
562.3E3,84.30,-31.94
584.3E3,84.27,-32.27
607.2E3,84.24,-32.61
631.0E3,84.20,-32.94
655.6E3,84.14,-33.28
681.3E3,84.08,-33.61
707.9E3,84.02,-33.94
735.6E3,83.94,-34.28
764.4E3,83.85,-34.61
794.3E3,83.76,-34.94
825.4E3,83.65,-35.28
857.7E3,83.54,-35.61
891.3E3,83.42,-35.95
926.1E3,83.28,-36.28
962.4E3,83.14,-36.61
1.000E6,82.99,-36.95
1.039E6,82.82,-37.28
1.080E6,82.65,-37.61
1.122E6,82.46,-37.95
1.166E6,82.27,-38.28
1.212E6,82.06,-38.61
1.259E6,81.84,-38.95
1.308E6,81.61,-39.28
1.359E6,81.37,-39.62
1.413E6,81.11,-39.95
1.468E6,80.85,-40.28
1.525E6,80.56,-40.62
1.585E6,80.27,-40.95
1.647E6,79.96,-41.28
1.711E6,79.63,-41.62
1.778E6,79.29,-41.95
1.848E6,78.94,-42.28
1.920E6,78.57,-42.62
1.995E6,78.18,-42.95
2.073E6,77.78,-43.29
2.154E6,77.35,-43.62
2.239E6,76.91,-43.95
2.326E6,76.45,-44.29
2.417E6,75.97,-44.62
2.512E6,75.47,-44.95
2.610E6,74.95,-45.29
2.712E6,74.41,-45.62
2.818E6,73.84,-45.96
2.929E6,73.25,-46.29
3.043E6,72.64,-46.62
3.162E6,72.01,-46.96
3.286E6,71.34,-47.29
3.415E6,70.66,-47.63
3.548E6,69.94,-47.96
3.687E6,69.20,-48.29
3.831E6,68.42,-48.63
3.981E6,67.62,-48.96
4.137E6,66.78,-49.30
4.299E6,65.92,-49.63
4.467E6,65.02,-49.97
4.642E6,64.08,-50.30
4.823E6,63.11,-50.64
5.012E6,62.11,-50.97
5.208E6,61.06,-51.31
5.412E6,59.98,-51.64
5.623E6,58.86,-51.98
5.843E6,57.70,-52.31
6.072E6,56.49,-52.65
6.310E6,55.25,-52.99
6.556E6,53.95,-53.32
6.813E6,52.62,-53.66
7.079E6,51.23,-53.99
7.356E6,49.80,-54.33
7.644E6,48.32,-54.67
7.943E6,46.79,-55.01
8.254E6,45.21,-55.34
8.577E6,43.58,-55.68
8.913E6,41.89,-56.02
9.261E6,40.16,-56.36
9.624E6,38.36,-56.70
10.00E6,36.52,-57.04
10.39E6,34.62,-57.38
10.80E6,32.66,-57.72
11.22E6,30.65,-58.06
11.66E6,28.58,-58.41
12.12E6,26.45,-58.75
12.59E6,24.27,-59.09
13.08E6,22.03,-59.44
13.59E6,19.74,-59.78
14.13E6,17.39,-60.13
14.68E6,14.99,-60.48
15.25E6,12.54,-60.82
15.85E6,10.03,-61.17
16.47E6,7.476,-61.52
17.11E6,4.871,-61.87
17.78E6,2.218,-62.23
18.48E6,-481.1E-3,-62.58
19.20E6,-3.224,-62.93
19.95E6,-6.008,-63.29
20.73E6,-8.833,-63.65
21.54E6,-11.69,-64.01
22.39E6,-14.59,-64.37
23.26E6,-17.52,-64.73
24.17E6,-20.48,-65.10
25.12E6,-23.47,-65.46
26.10E6,-26.49,-65.83
27.12E6,-29.52,-66.20
28.18E6,-32.58,-66.57
29.29E6,-35.66,-66.95
30.43E6,-38.76,-67.33
31.62E6,-41.88,-67.71
32.86E6,-45.00,-68.10
34.15E6,-48.14,-68.48
35.48E6,-51.29,-68.88
36.87E6,-54.45,-69.27
38.31E6,-57.62,-69.67
39.81E6,-60.79,-70.08
41.37E6,-63.97,-70.49
42.99E6,-67.16,-70.90
44.67E6,-70.34,-71.33
46.42E6,-73.53,-71.76
48.23E6,-76.72,-72.19
50.12E6,-79.90,-72.64
52.08E6,-83.08,-73.09
54.12E6,-86.25,-73.56
56.23E6,-89.42,-74.03
58.43E6,-92.57,-74.51
60.72E6,-95.70,-75.00
63.10E6,-98.81,-75.51
65.56E6,-101.9,-76.02
68.13E6,-105.0,-76.55
70.79E6,-108.0,-77.09
73.56E6,-111.0,-77.65
76.44E6,-113.9,-78.22
79.43E6,-116.8,-78.80
82.54E6,-119.7,-79.39
85.77E6,-122.4,-80.00
89.13E6,-125.2,-80.61
92.61E6,-127.8,-81.25
96.24E6,-130.4,-81.89
100.0E6,-132.8,-82.54
103.9E6,-135.2,-83.21
108.0E6,-137.5,-83.88
112.2E6,-139.8,-84.56
116.6E6,-141.9,-85.25
121.2E6,-143.9,-85.95
125.9E6,-145.8,-86.66
130.8E6,-147.7,-87.37
135.9E6,-149.4,-88.08
141.3E6,-151.0,-88.80
146.8E6,-152.6,-89.52
152.5E6,-154.0,-90.24
158.5E6,-155.4,-90.96
164.7E6,-156.7,-91.68
171.1E6,-157.9,-92.40
177.8E6,-159.0,-93.11
184.8E6,-160.0,-93.83
192.0E6,-161.0,-94.54
199.5E6,-161.9,-95.24
207.3E6,-162.8,-95.94
215.4E6,-163.6,-96.64
223.9E6,-164.4,-97.33
232.6E6,-165.1,-98.02
241.7E6,-165.9,-98.70
251.2E6,-166.6,-99.38
261.0E6,-167.3,-100.1
271.2E6,-167.9,-100.7
281.8E6,-168.6,-101.4
292.9E6,-169.3,-102.0
304.3E6,-170.0,-102.7
316.2E6,-170.6,-103.4
328.6E6,-171.3,-104.0
341.5E6,-172.1,-104.7
354.8E6,-172.8,-105.3
368.7E6,-173.5,-106.0
383.1E6,-174.3,-106.6
398.1E6,-175.1,-107.3
413.7E6,-175.9,-108.0
429.9E6,-176.7,-108.6
446.7E6,-177.5,-109.3
464.2E6,-178.4,-109.9
482.3E6,-179.3,-110.6
501.2E6,-180.2,-111.3
520.8E6,-181.2,-112.0
541.2E6,-182.2,-112.6
562.3E6,-183.2,-113.3
584.3E6,-184.2,-114.0
607.2E6,-185.3,-114.7
631.0E6,-186.4,-115.4
655.6E6,-187.6,-116.1
681.3E6,-188.8,-116.8
707.9E6,-190.0,-117.5
735.6E6,-191.3,-118.2
764.4E6,-192.7,-119.0
794.3E6,-194.1,-119.7
825.4E6,-195.6,-120.5
857.7E6,-197.2,-121.2
891.3E6,-198.8,-122.0
926.1E6,-200.6,-122.8
962.4E6,-202.4,-123.5
1.000E9,-204.4,-124.3
