freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
1.000,161.6,101.1
1.039,160.9,101.1
1.080,160.3,101.1
1.122,159.5,101.0
1.166,158.8,101.0
1.212,158.1,100.9
1.259,157.3,100.9
1.308,156.5,100.8
1.359,155.7,100.8
1.413,154.8,100.7
1.468,154.0,100.7
1.525,153.1,100.6
1.585,152.2,100.5
1.647,151.3,100.4
1.711,150.4,100.4
1.778,149.4,100.3
1.848,148.4,100.2
1.920,147.4,100.1
1.995,146.4,100.0
2.073,145.4,99.90
2.154,144.4,99.79
2.239,143.3,99.68
2.326,142.3,99.55
2.417,141.2,99.43
2.512,140.1,99.29
2.610,139.0,99.15
2.712,137.9,99.01
2.818,136.8,98.86
2.929,135.7,98.70
3.043,134.6,98.53
3.162,133.5,98.36
3.286,132.4,98.18
3.415,131.3,98.00
3.548,130.2,97.81
3.687,129.1,97.61
3.831,128.0,97.41
3.981,127.0,97.20
4.137,125.9,96.99
4.299,124.8,96.77
4.467,123.8,96.54
4.642,122.8,96.31
4.823,121.8,96.07
5.012,120.8,95.83
5.208,119.8,95.58
5.412,118.9,95.33
5.623,117.9,95.08
5.843,117.0,94.81
6.072,116.1,94.55
6.310,115.2,94.28
6.556,114.4,94.01
6.813,113.5,93.73
7.079,112.7,93.45
7.356,111.9,93.17
7.644,111.1,92.88
7.943,110.4,92.59
8.254,109.6,92.30
8.577,108.9,92.00
8.913,108.2,91.70
9.261,107.6,91.40
9.624,106.9,91.10
10.00,106.3,90.80
10.39,105.6,90.49
10.80,105.0,90.18
11.22,104.5,89.87
11.66,103.9,89.56
12.12,103.3,89.25
12.59,102.8,88.93
13.08,102.3,88.62
13.59,101.8,88.30
14.13,101.3,87.98
14.68,100.8,87.66
15.25,100.4,87.34
15.85,99.94,87.02
16.47,99.51,86.70
17.11,99.10,86.37
17.78,98.69,86.05
18.48,98.30,85.73
19.20,97.92,85.40
19.95,97.55,85.08
20.73,97.18,84.75
21.54,96.83,84.42
22.39,96.49,84.09
23.26,96.16,83.77
24.17,95.84,83.44
25.12,95.52,83.11
26.10,95.21,82.78
27.12,94.91,82.45
28.18,94.62,82.12
29.29,94.33,81.79
30.43,94.05,81.46
31.62,93.78,81.13
32.86,93.51,80.80
34.15,93.24,80.47
35.48,92.98,80.14
36.87,92.73,79.81
38.31,92.48,79.48
39.81,92.23,79.14
41.37,91.98,78.81
42.99,91.74,78.48
44.67,91.50,78.15
46.42,91.26,77.81
48.23,91.03,77.48
50.12,90.79,77.15
52.08,90.56,76.82
54.12,90.33,76.48
56.23,90.10,76.15
58.43,89.86,75.82
60.72,89.63,75.48
63.10,89.40,75.15
