time (s),leafValue( VT("/VOUT") "modelFiles" "mm180_reg18_v124.lib.scs:ff" ) (V)
164.6E-6,1.156
165.1E-6,1.156
165.6E-6,1.156
166.2E-6,1.156
167.0E-6,1.155
168.0E-6,1.155
169.0E-6,1.155
169.7E-6,1.155
170.6E-6,1.155
171.5E-6,1.155
172.3E-6,1.155
173.1E-6,1.155
174.2E-6,1.155
175.8E-6,1.154
177.8E-6,1.154
179.8E-6,1.154
181.8E-6,1.154
183.8E-6,1.154
185.8E-6,1.153
187.8E-6,1.153
189.8E-6,1.153
191.8E-6,1.153
193.8E-6,1.153
195.8E-6,1.152
197.8E-6,1.152
198.9E-6,1.152
200.0E-6,1.152
