time (s),leafValue( VT("/VOUT") "modelFiles" "mm180_reg18_v124.lib.scs:tt" ) (V)
110.9E-6,1.031
110.9E-6,1.037
111.0E-6,1.044
111.0E-6,1.051
111.0E-6,1.054
111.0E-6,1.056
111.0E-6,1.060
111.0E-6,1.066
111.1E-6,1.073
111.1E-6,1.083
111.2E-6,1.102
111.3E-6,1.127
111.4E-6,1.144
111.5E-6,1.157
111.5E-6,1.166
111.6E-6,1.173
111.7E-6,1.178
111.8E-6,1.183
111.9E-6,1.187
112.0E-6,1.190
112.0E-6,1.192
112.1E-6,1.194
112.2E-6,1.195
112.3E-6,1.197
112.4E-6,1.198
112.6E-6,1.199
112.7E-6,1.199
112.8E-6,1.200
112.9E-6,1.200
113.0E-6,1.200
113.1E-6,1.200
113.3E-6,1.200
113.4E-6,1.200
113.6E-6,1.200
113.8E-6,1.200
114.1E-6,1.200
114.4E-6,1.200
114.8E-6,1.200
115.1E-6,1.200
115.4E-6,1.200
115.8E-6,1.200
116.1E-6,1.200
116.5E-6,1.200
116.9E-6,1.200
117.3E-6,1.200
117.9E-6,1.200
118.4E-6,1.200
119.1E-6,1.200
119.9E-6,1.200
120.8E-6,1.200
122.0E-6,1.200
123.5E-6,1.200
125.5E-6,1.200
127.5E-6,1.200
129.5E-6,1.200
131.5E-6,1.200
133.5E-6,1.200
135.5E-6,1.200
137.5E-6,1.200
139.5E-6,1.200
141.5E-6,1.200
143.5E-6,1.200
145.5E-6,1.200
147.5E-6,1.200
149.5E-6,1.200
151.5E-6,1.200
153.5E-6,1.200
155.5E-6,1.200
157.5E-6,1.200
159.5E-6,1.200
161.0E-6,1.200
161.0E-6,1.202
161.0E-6,1.206
161.1E-6,1.209
161.1E-6,1.212
161.1E-6,1.216
161.1E-6,1.218
161.1E-6,1.219
161.1E-6,1.220
161.2E-6,1.220
161.2E-6,1.221
161.2E-6,1.222
161.2E-6,1.223
161.2E-6,1.224
161.2E-6,1.225
161.2E-6,1.226
161.2E-6,1.228
161.2E-6,1.230
161.3E-6,1.232
161.3E-6,1.235
161.3E-6,1.238
161.4E-6,1.242
161.5E-6,1.247
161.6E-6,1.252
161.7E-6,1.257
161.8E-6,1.262
161.8E-6,1.264
161.9E-6,1.267
161.9E-6,1.268
162.0E-6,1.270
162.0E-6,1.271
162.0E-6,1.272
162.0E-6,1.273
162.0E-6,1.273
162.0E-6,1.272
162.0E-6,1.271
162.0E-6,1.271
162.0E-6,1.270
162.0E-6,1.269
162.0E-6,1.269
162.0E-6,1.268
162.0E-6,1.267
162.1E-6,1.266
162.1E-6,1.266
162.1E-6,1.265
162.1E-6,1.264
162.1E-6,1.264
162.1E-6,1.263
162.1E-6,1.262
162.1E-6,1.261
162.1E-6,1.260
162.1E-6,1.259
162.1E-6,1.257
162.1E-6,1.255
162.2E-6,1.253
162.2E-6,1.251
162.2E-6,1.248
162.3E-6,1.245
162.3E-6,1.242
162.4E-6,1.239
162.4E-6,1.235
162.5E-6,1.232
162.6E-6,1.228
162.7E-6,1.225
162.8E-6,1.222
163.0E-6,1.220
163.1E-6,1.218
163.3E-6,1.216
163.5E-6,1.215
163.7E-6,1.214
163.9E-6,1.213
164.2E-6,1.212
164.5E-6,1.212
164.9E-6,1.212
165.3E-6,1.211
165.9E-6,1.211
166.6E-6,1.211
167.5E-6,1.211
168.8E-6,1.211
169.7E-6,1.211
170.4E-6,1.211
170.9E-6,1.211
171.8E-6,1.211
172.4E-6,1.210
173.2E-6,1.210
174.1E-6,1.210
175.6E-6,1.210
177.6E-6,1.210
179.6E-6,1.210
181.6E-6,1.209
183.6E-6,1.209
185.6E-6,1.209
187.6E-6,1.209
189.6E-6,1.209
191.6E-6,1.208
193.6E-6,1.208
195.6E-6,1.208
197.6E-6,1.208
198.8E-6,1.208
200.0E-6,1.207
